,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,ARAI_Certified_Mileage,Kerb_Weight,Gears,Ground_Clearance,Seating_Capacity,Compression_Ratio,Turbocharger,max_power,max_power_rpm,max_torque,max_torque_rpm
691,,Mercedes-Benz C-Class,C 300D Amg Line,4974750,1950.0,4.0,4.0,RWD (Rear Wheel Drive),BS 6,"Front, Longitudinal",Injection,66.0,Diesel,16.05,1655.0,9,157.0,5.0,,True,179.71370000000002,4200.0,500.0,1600.0
692,,Mercedes-Benz C-Class,C 43 Amg,7500000,3982.0,8.0,4.0,RWD (Rear Wheel Drive),BS 6,"Front, Longitudinal",Injection,66.0,Petrol,1449.0,1730.0,7,112.0,5.0,,True,375.0871,5500.0,700.0,1750.0
693,,Mercedes-Benz C-Class,C 200 Prime,4090000,1497.0,4.0,4.0,RWD (Rear Wheel Drive),BS 6,"Front, Longitudinal",Injection,66.0,Petrol,12.06,1655.0,9,157.0,5.0,,True,134.9717,5800.0,280.0,1600.0
694,,Mercedes-Benz C-Class,C 200 Progressive,4654000,1497.0,4.0,4.0,RWD (Rear Wheel Drive),BS 6,"Front, Longitudinal",Injection,66.0,Petrol,12.06,1655.0,9,157.0,5.0,,True,134.9717,5800.0,280.0,1600.0
695,Lexus,Es,300H,5695000,2487.0,4.0,4.0,FWD (Front Wheel Drive),BS IV,"Front, Transverse",Injection,,Hybrid,17.8,1670.0,,,5.0,12.5,False,131.2432,5700.0,221.0,4400.0
696,Lexus,Nx 300H,F-Sport,6060000,2494.0,6.0,4.0,AWD (All Wheel Drive),BS IV,"Front, Transverse",Injection,56.0,Petrol,18.3,1905.0,,,5.0,12.5,False,142.686806,5700.0,210.0,4300.0
697,Lexus,Nx 300H,Luxury,5990000,2494.0,6.0,4.0,AWD (All Wheel Drive),BS IV,"Front, Transverse",Injection,56.0,Petrol,18.3,1785.0,,,5.0,12.5,False,142.686806,5700.0,210.0,4300.0
698,Jaguar,F-Pace,Prestige,6463780,1999.0,4.0,4.0,AWD (All Wheel Drive),BS IV,"Front, Longitudinal",Injection,60.0,Diesel,16.38,1830.0,,213.0,5.0,15.5,True,132.38982000000001,5500.0,430.0,1875.0
699,Jaguar,F-Pace,Prestige Petrol,6422809,1997.0,4.0,4.0,AWD (All Wheel Drive),BS IV,"Front, Longitudinal",Injection,60.0,Petrol,21.27,1830.0,,213.0,5.0,15.5,True,184.1879,5500.0,369.0,2650.0
700,Volvo,V90 Cross Country,D5 Inscription,6531000,1969.0,4.0,4.0,AWD (All Wheel Drive),BS IV,"Front, Longitudinal",Injection,60.0,Diesel,17.2,2962.0,8,210.0,5.0,,False,172.842265,4250.0,480.0,1740.0
701,Audi,A5 Cabriolet,2.0 Tdi,6948200,1968.0,4.0,,FWD (Front Wheel Drive),BS IV,"Front, Longitudinal",Injection,58.0,Diesel,17.2,1875.0,7,,4.0,,True,139.74481,4000.0,400.0,2375.0
702,Bmw,M4,Coupe,13590000,2979.0,6.0,4.0,RWD (Rear Wheel Drive),BS IV,"Front, Longitudinal",Injection,60.0,Petrol,10.75,1612.0,7,121.0,4.0,10.2,False,317.000069,7300.0,550.0,3675.0
703,Porsche,911,Carrera S,17420000,2981.0,6.0,4.0,AWD (All Wheel Drive),BS 6,"Rear Mid, Transverse",Injection,64.0,Petrol,8.9,1515.0,8,,4.0,,False,335.565,6500.0,530.0,5000.0
704,Porsche,911,Carrera S Cabriolet,18844000,2981.0,6.0,4.0,AWD (All Wheel Drive),BS 6,"Rear Mid, Transverse",Injection,64.0,Petrol,9.1,1585.0,8,,4.0,,False,335.565,6500.0,530.0,5000.0
705,Nissan,Gtr,3.8 V6,21240272,3799.0,6.0,4.0,AWD (All Wheel Drive),BS IV,"Front, Longitudinal",Injection,74.0,Petrol,9.0,1752.0,6,110.0,4.0,,True,419.23443000000003,6800.0,637.0,3200.0
706,Aston Martin,Vantage,Coupe,29500000,3982.0,8.0,4.0,RWD (Rear Wheel Drive),BS IV,"Front, Longitudinal",Injection,73.0,Petrol,8.0,1530.0,8,122.0,2.0,10.5,True,376.5785,6000.0,685.0,3500.0
707,Aston Martin,Rapide,Luxe,38845823,5935.0,12.0,4.0,RWD (Rear Wheel Drive),BS IV,"Mid, Longitudinal",Injection,90.5,Petrol,12.9,1990.0,8,108.0,4.0,11.1,True,411.87944,6650.0,630.0,5500.0
708,Ferrari,812 Superfast,Superfast,52000000,6496.0,12.0,,AWD (All Wheel Drive),BS IV,"Front, Longitudinal",Injection,92.0,Petrol,14.9,1630.0,7,,2.0,13.6,False,588.3573,8500.0,718.0,7000.0
709,Maruti Suzuki,Alto 800 Tour,H1,354235,796.0,3.0,4.0,FWD (Front Wheel Drive),BS IV,"Front, Transverse",Injection,35.0,Petrol,23.7,720.0,5,160.0,5.0,10.3,False,35.303952,6000.0,69.0,3500.0
710,Maruti Suzuki,Alto 800 Tour,H1 (O),356559,796.0,3.0,4.0,FWD (Front Wheel Drive),BS IV,"Front, Transverse",Injection,35.0,Petrol,24.7,720.0,5,160.0,5.0,,False,35.303952,6000.0,69.0,3500.0
711,Hyundai,Grand I10 Nios,Era 1.2 Vtvt,504990,1197.0,4.0,4.0,FWD (Front Wheel Drive),BS 6,"Front, Transverse",Injection,37.0,Petrol,20.7,935.0,5,165.0,5.0,,True,61.046417,6000.0,114.0,4000.0
712,Hyundai,Grand I10 Nios,Magna 1.2 Vtvt,589610,1197.0,4.0,4.0,FWD (Front Wheel Drive),BS 6,"Front, Transverse",Injection,37.0,Petrol,20.7,935.0,5,165.0,5.0,,True,61.046417,6000.0,114.0,4000.0
713,Hyundai,Grand I10 Nios,Magna Amt 1.2 Vtvt,642610,1197.0,4.0,4.0,FWD (Front Wheel Drive),BS 6,"Front, Transverse",Injection,37.0,Petrol,20.7,935.0,5,165.0,5.0,,True,61.046417,6000.0,114.0,4000.0
714,Hyundai,Grand I10 Nios,Sportz 1.2 Vtvt,643350,1197.0,4.0,4.0,FWD (Front Wheel Drive),BS 6,"Front, Transverse",Injection,37.0,Petrol,20.7,935.0,5,165.0,5.0,,True,61.046417,6000.0,114.0,4000.0
715,Hyundai,Grand I10 Nios,Sportz Amt 1.2 Vtvt,703350,1197.0,4.0,4.0,FWD (Front Wheel Drive),BS 6,"Front, Transverse",Injection,37.0,Petrol,20.7,935.0,5,165.0,5.0,,True,61.046417,6000.0,114.0,4000.0
716,Hyundai,Grand I10 Nios,Sportz Dual Tone 1.2 Vtvt,673350,1197.0,4.0,4.0,FWD (Front Wheel Drive),BS 6,"Front, Transverse",Injection,37.0,Petrol,20.7,935.0,5,165.0,5.0,,True,61.046417,6000.0,114.0,4000.0
717,Hyundai,Grand I10 Nios,Asta 1.2 Vtvt,718950,1197.0,4.0,4.0,FWD (Front Wheel Drive),BS 6,"Front, Transverse",Injection,37.0,Petrol,20.7,935.0,5,165.0,5.0,,True,61.046417,6000.0,114.0,4000.0
718,Hyundai,Xcent,Sx 1.2,705546,1197.0,4.0,4.0,FWD (Front Wheel Drive),BS IV,"Front, Transverse",Injection,43.0,Petrol,20.14,1100.0,5,165.0,5.0,,False,60.310918,6000.0,114.0,6000.0
719,Hyundai,Xcent,Sx 1.2 Crdi,798558,1120.0,3.0,4.0,FWD (Front Wheel Drive),BS IV,"Front, Transverse",Injection,43.0,Diesel,25.4,1100.0,5,165.0,5.0,,True,55.162425,4000.0,190.0,2000.0
720,Hyundai,Xcent,Sx 1.2 Crdi (O),875358,1120.0,3.0,4.0,FWD (Front Wheel Drive),BS IV,"Front, Transverse",Injection,43.0,Diesel,25.4,1100.0,5,165.0,5.0,,False,52.955928,4000.0,190.0,2000.0
721,Nissan,Micra,Xl (O) Cvt,662880,1198.0,3.0,12.0,FWD (Front Wheel Drive),BS IV,"Front, Transverse",Injection,41.0,Petrol,19.34,930.0,5,154.0,5.0,9.8,False,56.633423,6000.0,104.0,4000.0
722,Nissan,Micra,Xvd,812964,1461.0,4.0,2.0,FWD (Front Wheel Drive),BS IV,"Front, Transverse",Injection,41.0,Diesel,23.08,1001.0,5,150.0,5.0,,False,47.071936,4000.0,160.0,2000.0
723,Mahindra,Bolero,Zlx,942263,2523.0,4.0,2.0,FWD (Front Wheel Drive),BS IV,"Front, Transverse",Injection,60.0,Diesel,15.96,1615.0,5,180.0,7.0,18.0,True,46.336437000000004,3200.0,195.0,1800.0
724,Mahindra,Bolero,Slx,917055,2523.0,4.0,2.0,FWD (Front Wheel Drive),BS IV,"Front, Transverse",Injection,60.0,Diesel,15.96,1615.0,5,180.0,7.0,,True,46.336437000000004,3200.0,195.0,1800.0
725,Mahindra,Bolero,Sle,860720,2523.0,4.0,2.0,FWD (Front Wheel Drive),BS IV,"Front, Transverse",Injection,60.0,Diesel,15.96,1615.0,5,180.0,7.0,,True,46.336437000000004,3200.0,195.0,1800.0
726,Mahindra,Bolero,Ex,815883,2523.0,4.0,2.0,FWD (Front Wheel Drive),BS IV,"Front, Transverse",Injection,60.0,Diesel,15.96,1615.0,5,183.0,7.0,,True,46.336437000000004,3200.0,195.0,1800.0
727,Mahindra,Bolero,Ex Non Ac,773678,2523.0,4.0,2.0,FWD (Front Wheel Drive),BS IV,"Front, Transverse",Injection,60.0,Diesel,15.96,1615.0,5,183.0,7.0,,True,46.336437000000004,3200.0,195.0,1800.0
728,Maruti Suzuki,Ciaz,1.3L Alpha Smart Hybrid,1102689,1248.0,4.0,4.0,FWD (Front Wheel Drive),BS IV,"Front, Transverse",Injection,43.0,Diesel,28.09,1105.0,5,170.0,5.0,,True,66.3673,4000.0,200.0,1750.0
